TS time deltat Energy E1 E2 E3 Dissipation Trd volume area area_n area_gn area_gp Lat_area Epress E_tension1 E_tension2 E_tension3 Ela_small P_tension1 P_tension2 P_tension3 pressure Zmax stress strain Diss1 Diss2 Diss3
280 0.0155213 0.000166781 0.0592659 0.0241724 0.0149255 0.020168 0.171495 0.00145864 0.0384772 1.48068 1.4517 1.48102 1.48034 1.09367 -0.627093 7.15048 7.14144 5.5122 0 5.64079 6.06231 -1.99772 -16.7399 1 0 0 0.118696 0.0612275 0.0536363
285 0.0163722 0.000175376 0.0621288 0.0253015 0.0156772 0.0211501 0.154804 0.00145931 0.0391643 1.48169 1.4517 1.48206 1.48134 1.09335 -0.650501 7.14816 7.13877 5.51182 0 5.44327 5.85534 -1.92691 -17.0684 1 0 0 0.124444 0.0645205 0.0562494
290 0.017267 0.000184414 0.0650697 0.026456 0.0164527 0.022161 0.139738 0.00145998 0.0398514 1.48273 1.4517 1.48311 1.48236 1.09301 -0.674436 7.14594 7.13621 5.51141 0 5.25104 5.65354 -1.85796 -17.3998 1 0 0 0.130334 0.0679339 0.0589344
295 0.0182079 0.000193918 0.0680868 0.0276347 0.0172518 0.0232002 0.126139 0.00146067 0.0405385 1.48378 1.4517 1.48418 1.48339 1.09268 -0.698898 7.14385 7.13378 5.51097 0 5.0641 5.45692 -1.79086 -17.7339 1 0 0 0.136362 0.0714676 0.0616897
300 0.0191972 0.000203911 0.0711779 0.0288362 0.0180742 0.0242675 0.113863 0.00146136 0.0412256 1.48484 1.4517 1.48526 1.48443 1.09234 -0.723887 7.14189 7.13148 5.51049 0 4.88243 5.26549 -1.72563 -18.0706 1 0 0 0.142523 0.0751212 0.0645136
305 0.0202376 0.00021442 0.0743407 0.030059 0.0189193 0.0253623 0.102781 0.00146207 0.0419127 1.48593 1.4517 1.48637 1.4855 1.092 -0.749401 7.14007 7.12933 5.50998 0 4.70601 5.07925 -1.66224 -18.4098 1 0 0 0.148811 0.0788938 0.0674037
310 0.0213316 0.00022547 0.0775721 0.0313014 0.0197867 0.026484 0.0927781 0.00146279 0.0425998 1.48702 1.4517 1.48749 1.48657 1.09165 -0.775437 7.13842 7.12735 5.50943 0 4.5348 4.89818 -1.60068 -18.7513 1 0 0 0.155217 0.082784 0.0703577
315 0.0224819 0.00023709 0.0808688 0.0325616 0.0206755 0.0276317 0.0837485 0.00146351 0.0432869 1.48814 1.4517 1.48862 1.48766 1.09129 -0.801992 7.13693 7.12555 5.50884 0 4.36873 4.72223 -1.54095 -19.0949 1 0 0 0.161734 0.0867899 0.0733725
320 0.0236916 0.000249309 0.0842269 0.0338373 0.0215849 0.0288047 0.0755976 0.00146425 0.043974 1.48927 1.4517 1.48977 1.48877 1.09094 -0.829063 7.13564 7.12395 5.5082 0 4.20776 4.55138 -1.48301 -19.4405 1 0 0 0.168353 0.0909089 0.076445
325 0.0249636 0.000262157 0.0876422 0.0351263 0.022514 0.0300019 0.0682398 0.001465 0.0446611 1.49041 1.4517 1.49094 1.48989 1.09058 -0.856646 7.13455 7.12256 5.50752 0 4.0518 4.38557 -1.42685 -19.7879 1 0 0 0.175064 0.0951377 0.0795714
