TS time deltat Energy Dissipation Trd volume area area_n Epress E1 E_tension1 P_tension1 E_elastic pressure Zmax stress strain Diss1 Diss2
175 0.045461 0.000541112 0.000751098 0.0180239 0.00025756 0.0152489 0.789351 0.784623 -0.0825339 0.000554322 0 0.814028 4.4714e-05 -5.51909 1 0 0 0.000249429 8.59665e-05
180 0.0482218 0.000568999 0.000840104 0.0162896 0.000257644 0.0156846 0.789624 0.784623 -0.087151 0.000585448 0 0.79595 5.00174e-05 -5.66916 1 0 0 0.000278708 9.07087e-05
185 0.0511248 0.000598323 0.000936733 0.0147222 0.000257731 0.0161203 0.789905 0.784623 -0.0919118 0.000617415 0 0.777657 5.57752e-05 -5.82056 1 0 0 0.000310438 9.55685e-05
190 0.0541775 0.000629158 0.0010414 0.0133056 0.00025782 0.016556 0.790193 0.784623 -0.0968178 0.00065022 0 0.759217 6.20122e-05 -5.97328 1 0 0 0.000344741 0.000100544
195 0.0573875 0.000661582 0.00115452 0.0120253 0.000257911 0.0169917 0.790488 0.784623 -0.10187 0.000683859 0 0.740688 6.87536e-05 -6.12732 1 0 0 0.000381741 0.000105635
200 0.0607629 0.000695677 0.00127653 0.0108682 0.000258005 0.0174273 0.790791 0.784623 -0.10707 0.000718331 0 0.722123 7.6025e-05 -6.28266 1 0 0 0.000421562 0.000110838
205 0.0643122 0.000731529 0.00140787 0.00982243 0.0002581 0.017863 0.791102 0.784623 -0.11242 0.00075363 0 0.703573 8.38528e-05 -6.43931 1 0 0 0.00046433 0.000116153
210 0.0680445 0.000769229 0.001549 0.00887728 0.000258199 0.0182987 0.79142 0.784623 -0.117919 0.000789753 0 0.68508 9.22638e-05 -6.59725 1 0 0 0.000510169 0.000121578
215 0.0719691 0.000808871 0.00170036 0.00802307 0.000258299 0.0187344 0.791745 0.784623 -0.12357 0.000826697 0 0.666684 0.000101286 -6.75648 1 0 0 0.000559203 0.00012711
220 0.076096 0.000850557 0.00186243 0.00725105 0.000258402 0.0191701 0.792078 0.784623 -0.129375 0.000864458 0 0.648422 0.000110946 -6.91701 1 0 0 0.000611559 0.000132748
225 0.0804356 0.000894391 0.00203569 0.00655329 0.000258507 0.0196058 0.792419 0.784623 -0.135333 0.000903032 0 0.630325 0.000121273 -7.07882 1 0 0 0.000667358 0.00013849
230 0.0849988 0.000940484 0.00222061 0.00592267 0.000258615 0.0200414 0.792767 0.784623 -0.141447 0.000942415 0 0.612421 0.000132296 -7.24191 1 0 0 0.000726724 0.000144334
235 0.0897972 0.000988953 0.0024177 0.00535272 0.000258724 0.0204771 0.793122 0.784623 -0.147718 0.000982602 0 0.594736 0.000144045 -7.40629 1 0 0 0.000789777 0.000150277
240 0.0948429 0.00103992 0.00262745 0.0048376 0.000258836 0.0209128 0.793485 0.784623 -0.154148 0.00102359 0 0.577291 0.000156549 -7.57196 1 0 0 0.000856635 0.000156319
245 0.100149 0.00109351 0.00285037 0.00437204 0.000258951 0.0213485 0.793855 0.784623 -0.160737 0.00106537 0 0.560108 0.000169838 -7.7389 1 0 0 0.000927414 0.000162455
250 0.105728 0.00114987 0.00308699 0.00395127 0.000259067 0.0217842 0.794233 0.784623 -0.167487 0.00110795 0 0.543201 0.000183945 -7.90712 1 0 0 0.00100223 0.000168685
255 0.111594 0.00120913 0.00333783 0.00357098 0.000259186 0.0222199 0.794618 0.784623 -0.174399 0.00115131 0 0.526588 0.000198899 -8.07663 1 0 0 0.00108118 0.000175005
260 0.117763 0.00127144 0.00360341 0.00322728 0.000259307 0.0226555 0.79501 0.784623 -0.181475 0.00119546 0 0.510279 0.000214734 -8.24742 1 0 0 0.00116437 0.000181412
265 0.12425 0.00133696 0.00388429 0.00291665 0.000259431 0.0230912 0.79541 0.784623 -0.188717 0.00124038 0 0.494285 0.00023148 -8.4195 1 0 0 0.00125191 0.000187905
270 0.131072 0.00140587 0.00418101 0.0026359 0.000259556 0.0235269 0.795817 0.784623 -0.196124 0.00128607 0 0.478617 0.000249172 -8.59286 1 0 0 0.00134388 0.00019448
275 0.138244 0.00147832 0.00449412 0.00238217 0.000259684 0.0239626 0.796231 0.784623 -0.203699 0.00133254 0 0.463279 0.000267841 -8.7675 1 0 0 0.00144037 0.000201135
